imageId,fileName,name,description,contributor
0,0.jpg,Helen and her 1949 Ford,Helen and her 1949 Ford,Carmen Marzitelli
1,1.jpg,Misch cousins at Connor Misch's Wedding,"(left to right) Jordan Misch, Taylor Misch, Connor Misch, Martha Misch, Lisa Misch, Bridget (Misch) Baumeister",Mark Misch
2,2.jpg,Mark and Daughters,"(left to right) Lisa Misch, Mark Misch, Bridget Misch",Mark Misch
3,3.jpg,Agnes and Joseph Misch,Agnes and Joseph Misch (12-2-1949),Carmen Marzitelli
4,4.jpg,Agnes Misch and Nellie,"(left to right) Nellie, Agnes Misch",Carmen Marzitelli
5,5.jpg,Agnes Misch and sister in-laws,Agnes Misch pictured with her 4 sister-in-laws,Carmen Marzitelli
6,6.jpg,Agnes Misch,Agnes Schmea Misch,Carmen Marzitelli
7,7.jpg,Unknown 1,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
8,8.jpg,Unknown 2,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
9,9.jpg,Unknown 3,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
10,10.jpg,Unknown 4,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
11,11.jpg,Unknown 5,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
12,12.jpg,Unknown 6,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Carmen Marzitelli
13,13.jpg,Marzitelli Family appearing in the newspaper (April 22nd 1956),"(left-to-right) Renee, Frank Sr., Romelle, Frank Jr., Helen, John, Patrick, Mike",Carmen Marzitelli
14,14.jpg,Brandon and Jaron,(left to right) Brandon and Jaron,John Marzitelli
15,15.jpg,Dominic Marzitelli with Charlie and Helen,"(left to right) Charlie, Dominic, Helen",John Marzitelli
16,16.jpg,Clarence and Martha Misch Wedding,"(left to right) unknown, unknown, Martha Misch, Clarence Misch, Albert Misch, Clarence ""Porky"" Halama (December 28th 1949)",Mark Misch
17,17.jpg,Clarence Misch Farm,Clarence Misch's Farm pictured from above (facing North) in September 1967,Mark Misch
18,18.jpg,Doc's Family,"(top left to right) Jean, Doc, David (bottom left to right) Marilyn, Kathy, Patty",Mark Misch
19,19.jpg,Dominic and Ashley,Dominic Marzitelli and Ashley Peterson,John Marzitelli
20,20.jpg,Romelle and Family,"(left to right) Ellis, Romelle, Mat Davidson, Marzi",John Marzitelli
21,21.jpg,Haven Marzitelli,Haven Marzitelli,John Marzitelli
22,22.jpg,Helen,Helen,Carmen Marzitelli
23,23.jpg,Helen and Frank Marzitelli,Helen and Frank Marzitelli,Carmen Marzitelli
24,24.jpg,Marzitelli Family,(top left to right) John and Kathy (bottom left to right) Helen and Charlie,John Marzitelli
25,25.jpg,Justin Marzitelli Family,"(left to right) Jaron, Kendra, Justin, Brandon",John Marzitelli
26,26.jpg,Helen and Jerry,(left to right) Jerry and Helen,Carmen Marzitelli
27,27.jpg,Joseph and Agnes Wedding,Joseph and Agnes Wedding (November 22nd 1910),Mark Misch
28,28.jpg,Unknown 7,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
29,29.jpg,John Misch,John Misch,David Misch
30,30.jpg,Misch Brothers,(photo 1) Jordan and Connor holding baby Taylor (photo 2) Jordan and Connor,David Misch
31,31.jpg,Misch Brothers Sledding,"(left to right) Jordan, Connor, and Taylor Misch",David Misch
32,32.jpg,Mark Misch Family,"(left to right) Josh Baumeister, Bridget Baumeister (Misch), Nancy Misch, Lisa Misch, Mark Misch",Mark Misch
33,33.jpg,Justin and Kendra,Justin and Kendra,John Marzitelli
34,34.jpg,Misch Baumeister and Hands Maine Trip,"(left to right) Josh Baumeister, Bridget Baumeister (Misch), Nancy Misch, Lisa Misch, Zak and Nicole Hands",Mark Misch
35,35.jpg,Mark and Clarence Misch,Mark and Clarence Misch,Mark Misch
36,36.jpg,Mark Misch,Mark Misch younger,Mark Misch
37,37.jpg,Mark Misch,Mark Misch,Mark Misch
38,38.jpg,Unknown 8,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
39,39.jpg,Clarence Misch Sons,"(left to right) James, John, David, Mark, Howard Misch pictured at Connor Misch's wedding in June 2022",Mark Misch
40,40.jpg,Betty Holding Kathy,Betty Holding Kathy,Kathy Newman
41,41.jpg,Unknown 10,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
42,42.jpg,Unknown 11,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
43,43.jpg,Albert Misch,Albert Misch pictured in a Scottish garment,Kathy Newman
44,44.jpg,Unknown 13,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
45,45.jpg,Unknown 14,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
46,46.jpg,Unknown 15,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Kathy Newman
47,47.jpg,Allen and Mary Wedding,Allen and Mary's Wedding Day (June 27th 1953),Kathy Newman
48,48.jpg,Allen and Mary Cake Cutting,Allen and Cutting the Cake at their Wedding (June 27th 1953),Kathy Newman
49,49.jpg,Allen Misch,Allen Misch,Kathy Newman
50,50.jpg,Mischel and Chad Marzitelli,Mischel and Chad Marzitelli,John Marzitelli
51,51.jpg,Misz Sisters ,"(left to right) Genevieve, Severine, Ignatius, Ladislaus",Kathy Newman
52,52.jpg,Newspaper Clipping Bernard Misch,Newspaper Clipping with Bernard Misch,Kathy Newman
53,53.jpg,"Newspaper Clipping Albert, Bernard, Helen, Nellie","Newspaper Clipping with Albert, Bernard, Helen, Nellie",Kathy Newman
54,54.jpg,"Nicole, Bridget, and Lisa","(left to right) Nicole Hands, Bridget Misch, Lisa Misch",Mark Misch
55,55.jpg,Mark Misch Family,"(left to right) Nicole Hands, Nancy Misch, Lisa Misch, Mark Misch, and Bridget Misch",Mark Misch
56,56.jpg,Pat,Pat,Mark Misch
57,57.jpg,Shana and Dominic,Shana and Dominic,John Marzitelli
58,58.jpg,Susan Helan and Henrietta,"(left to right) Bill Russell, Bernie, Mike Russell, Susan, Helen, Henrietta",Carmen Marzitelli
59,59.jpg,Tannis and Dominic,Tannis and Dominic,John Marzitelli
60,60.jpg,The Misch Boys,"(left to right) Howard, John, Mark, James, David",Mark Misch
61,61.jpg,Clarence Misch Sons and Grandsons,"(left to right) James, John, Jordan, Connor, Taylor, David, Mark, Howard Misch",Mark Misch
62,62.jpg,Connor Misch Family,"(left to right) McKenna Misch, Amelia Misch, Connor Misch",Mark Misch
63,63.jpg,Wesley Baumeister,Wesley Baumeister,Mark Misch
64,64.jpg,Mark and Wesley,(left to right) Mark Misch and Wesley Baumeister,Mark Misch
65,65.jpg,Amelia Misch Baptism,"(left to right) David, McKenna, Connor, Amelia, Kristee Misch (April 22nd 2025)",Connor Misch
66,66.jpg,Amelia Misch in Baptism Gown,Amelia in her Baptismal Gown (April 22nd 2025),Connor Misch
67,67.jpg,Mousel Family,Please reach out to taylormisch@gmail.com if you can identify the names of the individuals is in this photo from left to right,Elizabeth Mousel
68,68.jpg,Mousel Family,"Bill, Louie, Michelle, Chris, Betty, Ron, Katherine, John, Gretchen, Clarissa and Patrick",Elizabeth Mousel
69,69.jpg,Luie Mousel,Louie Mousel ,Elizabeth Mousel
